ACRES,BOROUGH,LOCATION,SIGNNAME,TYPECATEGORY,URL,ZIPCODE
2.61,M,"Cherry St, Pike St, Monroe St",Coleman Playground,Playground,http://www.nycgovparks.org/parks/M019/,10002
0.21,M,"Broadway, Ave of the Americas, bet. W. 34 St. and W. 35 St.",Herald Square,Triangle/Plaza,http://www.nycgovparks.org/parks/M036/,10001
1.222,X,W 166 St bet. Woodycrest Av and Nelson Av,Nelson Playground,Playground,http://www.nycgovparks.org/parks/X168/,10452
0.811,M,"Hamilton Pl., W. 140 St. To W. 141 St.",Alexander Hamilton Playground,Playground,http://www.nycgovparks.org/parks/M041/,10031
0.744,X,E. 188 St. bet. Webster Ave. and Park Ave.,Webster Playground,Playground,http://www.nycgovparks.org/parks/X174/,10458
15.99,X,"NYCRR, Walton Ave, E 158 St, Grand Concourse",Franz Sigel Park,Community Park,http://www.nycgovparks.org/parks/X047/,10451
0.31,X,Adams Pl bet. Cresent Av and E 183 St,D'Auria-Murphy Triangle,Triangle/Plaza,http://www.nycgovparks.org/parks/X068/,10458
13.35,M,"Riverside Dr to Henry Hudson Pkwy, W 153 St",Riverside Park,Neighborhood Park,http://www.nycgovparks.org/parks/M072/,1002710031
3.504,Q,Beaver Rd. bet. 158 St. and 159 St.,Prospect Cemetery,Cemetery,http://www.nycgovparks.org/parks/Q482/,11433
2.213,X,E 182 St bet. Belmont Av and Croton Av,Belmont Playground,Playground,http://www.nycgovparks.org/parks/X108/,10457
0.13,X,E 178 St. bet. Bathgate and 3 Ave.,El Batey de Do��a Provi Garden,Garden,http://www.nycgovparks.org/parks/X323/,10457
1.275,M,"Ave. C, FDR Dr., E. 17 St.",Murphy Brothers Playground,Playground,http://www.nycgovparks.org/parks/M059/,10009
0.16,X,Bristow St bet. Jennings St and Freeman St,CS 134 Community Improvement Garden,Garden,http://www.nycgovparks.org/parks/X340/,10459
0.27,X,Home St bet. Boston Rd and Jackson Av,Youth Village,Playground,http://www.nycgovparks.org/parks/X242/,10456
0.054,X,Franklin Av bet. E 167 St and E 168 St,Genesis Community Garden,Garden,http://www.nycgovparks.org/parks/X316/,10456
0.342,X,E 168 St bet. Washington Av and 3 Av,Rev Lena Irons Unity Park,Neighborhood Park,http://www.nycgovparks.org/parks/X286/,10456
1.607,B,Malcom X Blvd. between Chauncey St. and Marion St.,Jackie Robinson Park Playground,Jointly Operated Playground,http://www.nycgovparks.org/parks/B294/,11233
3.348,X,Tinton Av bet. E 166 St and E 165 St,Behagen Playground,Playground,http://www.nycgovparks.org/parks/X166/,10456
0.18,X,Home St bet. Jackson Av and Forrest Av,Jackson Forest Garden,Garden,http://www.nycgovparks.org/parks/X319/,10456
